,open,close,low,high,volume,money
2024-05-24,3805.0,3814.0,3800.0,3830.0,23185.0,885378380.0
2024-05-27,3815.0,3796.0,3779.0,3820.0,20777.0,789860840.0
2024-05-28,3801.0,3787.0,3782.0,3827.0,30036.0,1143432070.0
2024-05-29,3780.0,3804.0,3771.0,3809.0,31860.0,1206834890.0
2024-05-30,3800.0,3791.0,3786.0,3865.0,74802.0,2860432640.0
2024-05-31,3795.0,3763.0,3760.0,3795.0,42250.0,1595830080.0
2024-06-03,3753.0,3721.0,3713.0,3770.0,41086.0,1535806700.0
2024-06-04,3722.0,3704.0,3697.0,3733.0,32679.0,1213491020.0
2024-06-05,3700.0,3687.0,3683.0,3716.0,25090.0,927724670.0
2024-06-06,3692.0,3720.0,3680.0,3724.0,38225.0,1414701090.0
2024-06-07,3720.0,3715.0,3700.0,3750.0,40896.0,1522649830.0
2024-06-11,3700.0,3654.0,3650.0,3708.0,34086.0,1250065740.0
2024-06-12,3666.0,3664.0,3650.0,3676.0,24841.0,909972220.0
